,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
0,A.B. Dittmar Neighborhood Park,6628,247,126,12,26,7,121,3,13,11,12.69,19,10,0,2,0,9,0,1,0,16,1,39,3,19,1,A.B. Dittmar Neighborhood Park
1,Adams-Hemphill Neighborhood Park,6919,1354,564,0,14,24,790,22,61,0,9.31,145,60,0,1,2,84,2,6,0,22,2,75,8,24,2,Adams-Hemphill Neighborhood Park
2,Agave Neighborhood Park,4529,335,165,25,64,5,170,23,72,7,16.36,20,10,1,3,0,10,1,4,0,48,2,137,8,13,0,Agave Neighborhood Park
3,Alamo Pocket Park,2888,115,67,3,3,2,47,0,0,7,1.82,63,37,1,1,1,26,0,0,4,3,1,3,1,10,5,Alamo Pocket Park
4,Alderbrook Pocket Park,3241,351,146,7,16,0,204,14,30,25,1.9,184,77,3,8,0,107,7,16,13,21,11,47,24,25,13,Alderbrook Pocket Park
5,Andrews School Park,2818,163,85,9,16,11,77,14,23,17,3.27,49,26,2,4,3,23,4,7,5,23,7,40,12,28,8,Andrews School Park
6,Archstone Pocket Park,2377,173,109,17,20,0,63,6,11,2,0.53,326,207,32,39,0,119,13,21,4,23,45,31,60,2,4,Archstone Pocket Park
7,Armadillo Neighborhood Park,5119,370,180,10,28,24,190,28,44,28,3.046,121,59,3,9,8,62,9,14,9,38,12,72,23,52,17,Armadillo Neighborhood Park
8,Astor Place Greenbelt,2989,99,50,3,6,3,48,2,6,5,1.442,68,35,2,4,2,33,1,4,3,6,4,12,8,8,6,Astor Place Greenbelt
9,Auditorium Shores at Town Lake Metro Park,16799,778,424,1,11,24,354,8,22,28,48.57836784,16,8,0,0,0,7,0,0,0,9,0,34,0,53,1,Auditorium Shores at Town Lake Metro Park
10,Austin High Tennis Center,4167,127,62,0,4,3,64,3,4,6,3.22,39,19,0,1,1,19,1,1,1,4,1,8,2,10,3,Austin High Tennis Center
11,Austin Recreation Center,3136,96,57,0,1,7,39,2,4,5,5.48733039,17,10,0,0,1,7,0,0,1,3,0,5,1,13,2,Austin Recreation Center
12,Bailey Neighborhood Park,1805,87,33,2,4,6,53,4,16,1,2.299,37,14,1,1,2,23,1,7,0,7,3,20,8,7,3,Bailey Neighborhood Park
13,Balcones District Park,10585,541,293,22,50,14,248,5,31,24,51.69,10,5,0,0,0,4,0,0,0,28,0,81,1,38,0,Balcones District Park
14,Barrington School Park,7864,392,243,4,52,5,149,12,44,7,8.02,48,30,0,6,0,18,1,5,0,17,2,96,11,13,1,Barrington School Park
15,Barrow Nature Preserve,3007,180,87,2,17,13,92,3,18,19,7.5374,23,11,0,2,1,12,0,2,2,6,0,35,4,32,4,Barrow Nature Preserve
