,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
0,A.B. Dittmar Neighborhood Park,6628,605,310,29,63,21,295,9,34,27,12.69,47,24,2,5,1,23,0,2,2,39,3,98,7,48,3,A.B. Dittmar Neighborhood Park
1,Adams-Hemphill Neighborhood Park,16830,3294,1450,0,31,47,1844,44,120,1,9.31,353,155,0,3,5,198,4,12,0,45,4,152,16,49,5,Adams-Hemphill Neighborhood Park
2,Agave Neighborhood Park,4529,805,396,60,154,14,409,56,175,19,16.36,49,24,3,9,0,25,3,10,1,116,7,329,20,33,2,Agave Neighborhood Park
3,Alamo Pocket Park,2888,115,67,3,3,2,47,0,0,7,1.82,63,37,1,1,1,26,0,0,4,3,1,3,1,10,5,Alamo Pocket Park
4,Alderbrook Pocket Park,3241,351,146,7,16,0,204,14,30,25,1.9,184,77,3,8,0,107,7,16,13,21,11,47,24,25,13,Alderbrook Pocket Park
5,Andrews School Park,2818,163,85,9,16,11,77,14,23,17,3.27,49,26,2,4,3,23,4,7,5,23,7,40,12,28,8,Andrews School Park
6,Archstone Pocket Park,2377,173,109,17,20,0,63,6,11,2,0.53,326,207,32,39,0,119,13,21,4,23,45,31,60,2,4,Archstone Pocket Park
7,Armadillo Neighborhood Park,6546,1047,527,26,85,66,520,63,116,71,3.046,343,173,8,28,21,170,20,38,23,90,29,201,66,138,45,Armadillo Neighborhood Park
8,Astor Place Greenbelt,20046,5349,2418,113,403,277,2930,112,521,433,1.442,3709,1677,79,279,192,2032,77,361,300,226,156,925,641,711,493,Astor Place Greenbelt
9,Auditorium Shores at Town Lake Metro Park,18537,3948,2155,18,72,160,1793,50,115,175,48.57836784,81,44,0,1,3,36,1,2,3,69,1,187,3,336,6,Auditorium Shores at Town Lake Metro Park
10,Austin High Tennis Center,8972,407,206,3,15,11,200,11,16,18,3.22,126,64,1,4,3,62,3,5,5,14,4,31,9,30,9,Austin High Tennis Center
11,Austin Recreation Center,10236,334,195,2,5,23,139,8,13,17,5.48733039,60,35,0,1,4,25,1,2,3,10,1,19,3,40,7,Austin Recreation Center
12,Bailey Neighborhood Park,2977,358,183,10,33,15,174,15,46,6,2.299,155,79,4,14,6,76,6,20,2,25,11,80,34,22,9,Bailey Neighborhood Park
13,Balcones District Park,11842,2662,1399,106,226,68,1262,46,173,153,51.69,51,27,2,4,1,24,0,3,2,152,2,400,7,222,4,Balcones District Park
14,Barrington School Park,7864,392,243,4,52,5,149,12,44,7,8.02,48,30,0,6,0,18,1,5,0,17,2,96,11,13,1,Barrington School Park
15,Barrow Nature Preserve,4900,1379,647,24,146,101,732,29,164,154,7.5374,182,85,3,19,13,97,3,21,20,53,7,310,41,256,33,Barrow Nature Preserve
16,Bartholomew District Park,12152,3142,1557,102,267,101,1585,126,278,213,50.59388057,62,30,2,5,2,31,2,5,4,229,4,546,10,314,6,Bartholomew District Park
17,Barton Creek Greenbelt,55268,24826,12180,713,2579,1080,12645,784,2577,1354,838.75934835,29,14,0,3,1,15,0,3,1,1498,1,5156,6,2434,2,Barton Creek Greenbelt
18,Barton Creek Wilderness Park,28333,12298,6101,346,1503,656,6196,374,1476,823,1120.26484727,10,5,0,1,0,5,0,1,0,721,0,2980,2,1480,1,Barton Creek Wilderness Park
19,Barton Hills School Park,3589,202,107,8,15,12,94,7,17,8,4.76,42,22,1,3,2,19,1,3,1,16,3,32,6,20,4,Barton Hills School Park
20,Battlebend Springs Neighborhood Park,5149,510,261,23,70,11,249,16,54,19,4.91,103,53,4,14,2,50,3,11,4,39,8,125,25,31,6,Battlebend Springs Neighborhood Park
21,Bauerle Ranch at Slaughter Creek Greenbelt,39244,16842,8426,605,2039,704,8416,521,1819,692,322.59,52,26,1,6,2,26,1,5,2,1127,3,3859,11,1397,4,Bauerle Ranch at Slaughter Creek Greenbelt
22,Bellingham Meadows Greenbelt,8421,3128,1652,150,468,109,1475,197,441,107,22.3262,140,74,6,20,4,66,8,19,4,348,15,909,40,216,9,Bellingham Meadows Greenbelt
