,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
0,A.B. Dittmar Neighborhood Park,2632,9,41,21,11,14,5,12.69,8,0,3,1,0,1,0,A.B. Dittmar Neighborhood Park,102
1,Adams-Hemphill Neighborhood Park,2740,205,92,66,47,7,40,9.31,49,22,9,7,5,0,4,Adams-Hemphill Neighborhood Park,458
2,Agave Neighborhood Park,1119,15,37,10,6,7,1,16.36,4,0,2,0,0,0,0,Agave Neighborhood Park,78
3,Alamo Pocket Park,1201,10,12,13,3,12,3,1.82,31,5,6,7,1,6,2,Alamo Pocket Park,56
4,Alderbrook Pocket Park,1484,20,46,44,20,29,5,1.9,87,10,24,23,10,15,2,Alderbrook Pocket Park,165
5,Andrews School Park,965,11,16,11,5,10,4,3.27,18,3,5,3,1,3,1,Andrews School Park,60
6,Archstone Pocket Park,1046,1,8,20,13,16,15,0.53,143,3,15,38,25,30,29,Archstone Pocket Park,76
7,Armadillo Neighborhood Park,2024,40,29,28,15,19,7,3.046,46,13,9,9,5,6,2,Armadillo Neighborhood Park,140
8,Astor Place Greenbelt,1016,6,6,9,8,4,2,1.442,26,4,4,6,5,3,1,Astor Place Greenbelt,38
9,Auditorium Shores at Town Lake Metro Park,10091,50,80,97,52,82,96,48.57836784,9,1,1,2,1,1,1,Auditorium Shores at Town Lake Metro Park,460
10,Austin High Tennis Center,2426,10,8,13,11,15,18,3.22,24,3,2,4,3,4,5,Austin High Tennis Center,79
11,Austin Recreation Center,1401,8,11,10,4,8,10,5.48733039,9,1,2,1,0,1,1,Austin Recreation Center,53
12,Bailey Neighborhood Park,928,4,5,9,1,7,12,2.299,17,2,2,4,0,3,5,Bailey Neighborhood Park,40
13,Balcones District Park,5805,47,91,64,36,51,16,51.69,5,0,1,1,0,1,0,Balcones District Park,309
14,Barrington School Park,2457,23,43,12,8,10,10,8.02,13,2,5,1,1,1,1,Barrington School Park,109
15,Barrow Nature Preserve,1390,5,15,13,16,8,24,7.5374,11,0,2,1,2,1,3,Barrow Nature Preserve,83
16,Bartholomew District Park,4196,43,37,31,26,33,39,50.59388057,4,0,0,0,0,0,0,Bartholomew District Park,212
17,Barton Creek Greenbelt,8963,81,222,222,149,132,251,838.75934835,1,0,0,0,0,0,0,Barton Creek Greenbelt,1059
18,Barton Creek Wilderness Park,4850,29,44,55,58,79,143,1120.26484727,0,0,0,0,0,0,0,Barton Creek Wilderness Park,411
19,Barton Hills School Park,1771,8,24,14,14,18,23,4.76,21,1,5,3,3,3,5,Barton Hills School Park,104
20,Battlebend Springs Neighborhood Park,1807,11,14,11,10,10,4,4.91,12,2,3,2,2,2,0,Battlebend Springs Neighborhood Park,62
21,Bauerle Ranch at Slaughter Creek Greenbelt,4611,50,59,105,88,186,101,322.59,1,0,0,0,0,0,0,Bauerle Ranch at Slaughter Creek Greenbelt,592
22,Bellingham Meadows Greenbelt,1758,3,6,10,9,16,8,22.3262,2,0,0,0,0,0,0,Bellingham Meadows Greenbelt,54
23,Beverly S. Sheffield Northwest District Park,2323,17,19,15,21,36,44,31.14,4,0,0,0,0,1,1,Beverly S. Sheffield Northwest District Park,155
24,Big Stacy Neighborhood Park,1418,16,11,16,20,25,24,4.4178,26,3,2,3,4,5,5,Big Stacy Neighborhood Park,114
25,Big Walnut Creek Nature Preserve,3289,3,7,8,1,3,1,47.9502,0,0,0,0,0,0,0,Big Walnut Creek Nature Preserve,26
26,Blunn Creek Greenbelt,2312,30,36,59,41,57,78,13.33355865,22,2,2,4,3,4,5,Blunn Creek Greenbelt,304
27,Blunn Creek Nature Preserve,1548,51,55,20,31,33,30,38.52,5,1,1,0,0,0,0,Blunn Creek Nature Preserve,223
28,Boggy Creek Greenbelt,3559,138,64,50,13,30,36,48.830154,6,2,1,1,0,0,0,Boggy Creek Greenbelt,333
29,Bolm District Park,730,9,6,18,12,8,5,68.162,0,0,0,0,0,0,0,Bolm District Park,60
30,Brentwood Neighborhood Park,1236,27,30,10,9,24,23,9.25,13,3,3,1,1,2,2,Brentwood Neighborhood Park,127
31,Brownie Neighborhood Park,1895,49,87,25,9,9,0,8.287244,22,5,10,3,1,1,0,Brownie Neighborhood Park,182
32,Brush Square (O. Henry Museum),2521,8,9,11,9,22,43,1.752275,59,4,5,6,5,12,24,Brush Square (O. Henry Museum),104
33,Brush Square Triangle,682,0,1,2,0,2,8,1.0,16,0,1,2,0,2,8,Brush Square Triangle,16
34,Brushy Creek Greenbelt,3267,6,12,13,21,59,98,51.470217,4,0,0,0,0,1,1,Brushy Creek Greenbelt,213
35,Bull Creek District Park,2379,2,8,16,9,12,28,47.3,1,0,0,0,0,0,0,Bull Creek District Park,78
36,"Burnett ""Blondie"" Pharr Tennis Center",3039,17,12,16,8,14,18,8.45,10,2,1,1,1,1,2,"Burnett ""Blondie"" Pharr Tennis Center",89
37,Buttermilk Branch Greenbelt,2077,98,60,26,12,15,6,4.00384587,55,24,15,6,3,3,1,Buttermilk Branch Greenbelt,221
38,Buttermilk Neighborhood Park,2077,117,79,32,12,12,5,16.60250868,15,7,4,1,0,0,0,Buttermilk Neighborhood Park,258
39,Caldwell Treaty Oak Park,2484,9,10,16,9,13,17,0.308085,253,32,33,52,31,45,58,Caldwell Treaty Oak Park,77
40,Canyon Vista Pool,1488,0,1,0,2,3,16,0.47907723,52,1,2,1,5,6,33,Canyon Vista Pool,25
41,Caswell Tennis Center,1731,87,19,9,2,7,3,3.06,42,28,6,3,0,2,1,Caswell Tennis Center,130
42,Central Maintenance Complex at Town Lake Metro Park,898,28,19,9,1,13,6,9.21592622,8,3,2,0,0,1,0,Central Maintenance Complex at Town Lake Metro Park,77
43,Cherry Creek Neighborhood Park,2247,15,14,16,15,21,18,10.25,9,1,1,1,1,2,1,Cherry Creek Neighborhood Park,100
44,Cherrywood Pocket Park,1468,3,16,12,11,21,12,0.516,151,7,32,24,22,41,23,Cherrywood Pocket Park,78
45,Chestnut Pocket Park,643,6,12,9,13,16,8,0.6082,109,11,20,15,22,26,13,Chestnut Pocket Park,66
46,Circle C Ranch on Slaughter Creek,8399,31,48,80,83,131,184,591.5715,0,0,0,0,0,0,0,Circle C Ranch on Slaughter Creek,559
47,City of Austin/YMCA North Austin Community Recreation Center,3125,98,80,28,17,6,5,6.997,33,14,11,4,2,0,0,City of Austin/YMCA North Austin Community Recreation Center,236
48,Civitan Neighborhood Park,3050,42,20,14,6,6,3,7.12,13,5,2,1,0,0,0,Civitan Neighborhood Park,94
49,Colony Park District Park,2512,51,71,49,12,16,0,91.79060585,2,0,0,0,0,0,0,Colony Park District Park,203
50,Colorado River Greenbelt,1231,4,3,9,6,3,2,8.475,3,0,0,1,0,0,0,Colorado River Greenbelt,29
51,Colorado River Park WIldlife Sanctuary,2692,34,14,12,9,5,1,43.331,1,0,0,0,0,0,0,Colorado River Park WIldlife Sanctuary,78
52,Colorado/Walnut Greenbelt,3313,6,9,9,8,2,0,99.663,0,0,0,0,0,0,0,Colorado/Walnut Greenbelt,36
53,Comal Pocket Park,526,18,11,3,6,7,3,0.97071,52,18,11,3,6,7,3,Comal Pocket Park,51
54,Commons Ford Ranch Metro Park,5611,10,6,11,11,26,70,215.235,0,0,0,0,0,0,0,Commons Ford Ranch Metro Park,136
55,Conley-Guerrero Senior Activity Center,1478,22,9,6,0,1,2,2.43782134,17,9,4,2,0,0,1,Conley-Guerrero Senior Activity Center,43
56,Convict Hill Quarry Neighborhood Park,1960,2,8,4,6,11,14,2.814,16,0,2,1,2,4,4,Convict Hill Quarry Neighborhood Park,47
57,Cook School Park,1985,30,23,36,16,30,7,7.69,18,3,3,4,2,3,1,Cook School Park,145
58,Copperfield Neighborhood Park,2341,10,24,21,18,11,1,4.62,18,2,5,4,3,2,0,Copperfield Neighborhood Park,87
59,Country Club Creek Greenbelt,2369,103,154,90,29,7,7,41.843,9,2,3,2,0,0,0,Country Club Creek Greenbelt,394
60,Covert Park at Mount Bonnell,1107,1,2,2,1,6,17,5.54,5,0,0,0,0,1,3,Covert Park at Mount Bonnell,32
61,Crestland Triangle,1690,5,16,31,5,12,9,0.457,177,12,35,68,12,26,21,Crestland Triangle,81
62,Cunningham School Park,2003,16,25,17,18,20,10,3.55,30,4,7,4,5,5,3,Cunningham School Park,109
63,Davis Hill Neighborhood Park,2192,13,34,22,23,17,12,8.36,14,1,4,2,2,2,1,Davis Hill Neighborhood Park,124
64,Davis Spring Special Park,3396,4,11,8,3,24,32,14.472,5,0,0,0,0,1,2,Davis Spring Special Park,84
65,Davis/White Northeast Neighborhood Park,2194,8,18,8,5,4,0,19.55157,2,0,0,0,0,0,0,Davis/White Northeast Neighborhood Park,46
66,Decker Tallgrass Prairie Preserve,265,0,1,2,2,1,0,347.9910643,0,0,0,0,0,0,0,Decker Tallgrass Prairie Preserve,8
67,Deer Park at Maple Run Preserve,5196,8,16,23,19,35,15,24.278,4,0,0,0,0,1,0,Deer Park at Maple Run Preserve,120
68,Dick Nichols District Park,7031,26,62,68,63,101,52,140.1464,2,0,0,0,0,0,0,Dick Nichols District Park,374
69,Doss School Park,773,12,18,11,5,14,23,6.2,13,1,2,1,0,2,3,Doss School Park,84
70,Dottie Jordan Neighborhood Park,1933,23,29,25,17,20,10,11.45,11,2,2,2,1,1,0,Dottie Jordan Neighborhood Park,126
71,Dougherty Arts Center,3403,9,7,8,6,12,11,2.3400354,23,4,3,3,2,5,4,Dougherty Arts Center,56
72,Dove Springs District Park,805,1,2,4,1,2,1,59.001,0,0,0,0,0,0,0,Dove Springs District Park,14
73,Downs Mabson Fields,1670,26,17,14,12,24,9,9.97,10,2,1,1,1,2,0,Downs Mabson Fields,104
74,Dry Creek Greenbelt,2296,10,15,14,14,9,6,6.1149,11,1,2,2,2,1,1,Dry Creek Greenbelt,71
75,Duncan Neighborhood Park,5005,13,13,19,15,28,47,5.91,23,2,2,3,2,4,8,Duncan Neighborhood Park,137
76,Earl J. Pomerleau Pocket Park,1247,61,37,14,8,5,2,1.927,66,31,19,7,4,2,1,Earl J. Pomerleau Pocket Park,128
77,East Boggy Creek Greenbelt,3302,21,17,27,19,11,9,75.1792,1,0,0,0,0,0,0,East Boggy Creek Greenbelt,107
78,East Bouldin Creek Greenbelt,803,4,14,13,5,7,7,0.652,80,6,22,21,7,12,10,East Bouldin Creek Greenbelt,52
79,Eastwoods Neighborhood Park,1387,61,16,20,12,18,26,9.9,15,6,1,2,1,1,2,Eastwoods Neighborhood Park,154
80,Edward Rendon Sr. Metro Park at Festival Beach,3887,112,60,53,46,89,55,72.86032804,5,1,0,0,0,1,0,Edward Rendon Sr. Metro Park at Festival Beach,417
