,LOCATION_N,Total_Pop,"Less than $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 or more",ASSET_SIZE,TotalPop_Served_norm,"Less than $25,000_norm","$25,000 to $49,999_norm","$50,000 to $74,999_norm","$75,000 to $99,999_norm","$100,000 to $149,999_norm","$150,000 or more_norm",Park_Name,Total Pop Served
0,A.B. Dittmar Neighborhood Park,2632,27,90,53,30,36,16,12.69,20,2,7,4,2,2,1,A.B. Dittmar Neighborhood Park,256
1,Adams-Hemphill Neighborhood Park,3107,580,225,139,101,15,86,9.31,123,62,24,14,10,1,9,Adams-Hemphill Neighborhood Park,1149
2,Agave Neighborhood Park,1119,37,89,25,14,18,3,16.36,11,2,5,1,0,1,0,Agave Neighborhood Park,188
3,Alamo Pocket Park,1201,10,12,13,3,12,3,1.82,31,5,6,7,1,6,2,Alamo Pocket Park,56
4,Alderbrook Pocket Park,1484,20,46,44,20,29,5,1.9,87,10,24,23,10,15,2,Alderbrook Pocket Park,165
5,Andrews School Park,965,11,16,11,5,10,4,3.27,18,3,5,3,1,3,1,Andrews School Park,60
6,Archstone Pocket Park,1046,1,8,20,13,16,15,0.53,143,3,15,38,25,30,29,Archstone Pocket Park,76
7,Armadillo Neighborhood Park,2541,107,89,83,46,52,19,3.046,131,35,29,27,15,17,6,Armadillo Neighborhood Park,399
8,Astor Place Greenbelt,7321,600,499,342,262,204,126,1.442,1411,416,346,237,182,142,87,Astor Place Greenbelt,2035
9,Auditorium Shores at Town Lake Metro Park,11189,342,328,390,260,440,603,48.57836784,48,7,6,8,5,9,12,Auditorium Shores at Town Lake Metro Park,2365
10,Austin High Tennis Center,5147,38,33,40,34,45,54,3.22,76,11,10,12,10,14,17,Austin High Tennis Center,246
11,Austin Recreation Center,5825,25,33,34,14,31,47,5.48733039,34,4,6,6,2,5,8,Austin Recreation Center,187
