,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
0,A.B. Dittmar Neighborhood Park,6628,1584659.1565774656,12.69,19,12,10,6,A.B. Dittmar Neighborhood Park,247,162,128,85
1,Adams-Hemphill Neighborhood Park,6919,2685197.3960947497,9.31,145,125,100,19,Adams-Hemphill Neighborhood Park,1354,1170,935,183
2,Agave Neighborhood Park,4529,2184155.0620817984,16.36,20,3,1,17,Agave Neighborhood Park,335,54,31,281
3,Alamo Pocket Park,2888,959289.2871266733,1.82,63,57,32,5,Alamo Pocket Park,115,105,59,10
4,Alderbrook Pocket Park,3241,973785.0187558903,1.9,184,130,108,54,Alderbrook Pocket Park,351,247,206,103
5,Andrews School Park,2818,1215266.127609759,3.27,49,31,18,17,Andrews School Park,163,104,60,58
6,Archstone Pocket Park,2377,797441.4511487334,0.53,326,262,69,64,Archstone Pocket Park,173,139,37,33
7,Armadillo Neighborhood Park,5119,1103444.5942231794,3.046,121,45,32,75,Armadillo Neighborhood Park,370,139,97,231
8,Astor Place Greenbelt,2989,771830.4232092837,1.442,68,53,23,15,Astor Place Greenbelt,99,77,34,21
9,Auditorium Shores at Town Lake Metro Park,16799,5142869.572366632,48.57836784,16,14,12,1,Auditorium Shores at Town Lake Metro Park,778,684,619,94
10,Austin High Tennis Center,4167,809897.9263553515,3.22,39,36,30,2,Austin High Tennis Center,127,117,97,9
11,Austin Recreation Center,3136,1289216.7379521,5.48733039,17,14,13,2,Austin Recreation Center,96,81,71,15
12,Bailey Neighborhood Park,1805,1028145.6867404156,2.299,37,31,26,6,Bailey Neighborhood Park,87,71,60,15
13,Balcones District Park,10585,4259009.602927414,51.69,10,8,7,1,Balcones District Park,541,462,371,78
14,Barrington School Park,7864,1546852.3793361,8.02,48,12,8,36,Barrington School Park,392,97,70,295
15,Barrow Nature Preserve,3007,1893112.1122081666,7.5374,23,21,19,2,Barrow Nature Preserve,180,160,149,20
16,Bartholomew District Park,9886,3278057.6255006725,50.59388057,9,6,5,3,Bartholomew District Park,498,331,258,167
17,Barton Creek Greenbelt,19782,26145524.568334717,838.75934835,2,2,1,0,Barton Creek Greenbelt,2212,1830,1658,381
18,Barton Creek Wilderness Park,12442,15685638.827121167,1120.26484727,0,0,0,0,Barton Creek Wilderness Park,1052,930,819,121
19,Barton Hills School Park,3589,1110964.417415991,4.76,42,37,35,4,Barton Hills School Park,202,180,167,21
20,Battlebend Springs Neighborhood Park,5149,1237487.6371141626,4.91,35,20,17,15,Battlebend Springs Neighborhood Park,173,99,87,74
21,Bauerle Ranch at Slaughter Creek Greenbelt,13203,10226077.707487978,322.59,5,3,3,1,Bauerle Ranch at Slaughter Creek Greenbelt,1661,1202,970,459
22,Bellingham Meadows Greenbelt,6164,3141065.9563706648,22.3262,8,5,2,3,Bellingham Meadows Greenbelt,192,123,61,69
23,Beverly S. Sheffield Northwest District Park,5413,2908158.0360696306,31.14,11,11,11,0,Beverly S. Sheffield Northwest District Park,372,359,351,13
24,Big Stacy Neighborhood Park,3134,1177304.7949103157,4.4178,55,42,36,13,Big Stacy Neighborhood Park,244,186,161,57
25,Big Walnut Creek Nature Preserve,9123,1845033.440606377,47.9502,1,0,0,0,Big Walnut Creek Nature Preserve,83,47,12,36
26,Blunn Creek Greenbelt,4668,3523968.264949221,13.33355865,47,42,37,5,Blunn Creek Greenbelt,635,563,506,71
27,Blunn Creek Nature Preserve,4249,2939366.8225558894,38.52,13,9,7,4,Blunn Creek Nature Preserve,528,352,304,175
28,Boggy Creek Greenbelt,9540,4682849.948567372,48.830154,19,9,4,9,Boggy Creek Greenbelt,940,461,226,479
29,Bolm District Park,2163,3180440.951131557,68.162,2,1,0,1,Bolm District Park,178,95,41,83
30,Brentwood Neighborhood Park,2777,1542813.4380138945,9.25,29,25,23,3,Brentwood Neighborhood Park,272,239,213,33
31,Brownie Neighborhood Park,6224,1733102.2293686178,8.287244,71,16,5,55,Brownie Neighborhood Park,595,135,47,459
32,Brush Square (O. Henry Museum),4109,943894.6875418684,1.752275,97,86,75,11,Brush Square (O. Henry Museum),170,150,132,19
33,Brush Square Triangle,1578,795527.5979898451,1.0,38,35,31,2,Brush Square Triangle,38,35,31,2
34,Brushy Creek Greenbelt,10757,3612313.7095211754,51.470217,13,12,8,1,Brushy Creek Greenbelt,716,627,443,89
35,Bull Creek District Park,5115,3382644.913754492,47.3,3,3,3,0,Bull Creek District Park,170,161,142,9
