,LOCATION_N,Total_POP,area_intersec,ASSET_SIZE,Normalized_byArea,Normalized_nonhis,Normalized_white,Normalized_hislat,Park_Name,Total_Pop_Served,Non_Hispan,White,Hispan_Latin
0,A.B. Dittmar Neighborhood Park,6628,4116064.088776523,12.69,47,32,26,15,A.B. Dittmar Neighborhood Park,605,409,331,196
1,Adams-Hemphill Neighborhood Park,16830,6149952.971556144,9.31,353,303,231,50,Adams-Hemphill Neighborhood Park,3294,2823,2152,471
2,Agave Neighborhood Park,4529,5240535.268363819,16.36,49,7,4,41,Agave Neighborhood Park,805,130,74,675
3,Alamo Pocket Park,2888,959289.2871266733,1.82,63,57,32,5,Alamo Pocket Park,115,105,59,10
4,Alderbrook Pocket Park,3241,973785.0187558903,1.9,184,130,108,54,Alderbrook Pocket Park,351,247,206,103
5,Andrews School Park,2818,1215266.127609759,3.27,49,31,18,17,Andrews School Park,163,104,60,58
6,Archstone Pocket Park,2377,797441.4511487334,0.53,326,262,69,64,Archstone Pocket Park,173,139,37,33
7,Armadillo Neighborhood Park,6546,3210584.7524434966,3.046,343,139,105,204,Armadillo Neighborhood Park,1047,425,322,622
8,Astor Place Greenbelt,20046,44226746.57461702,1.442,3709,2588,1090,1120,Astor Place Greenbelt,5349,3733,1572,1616
9,Auditorium Shores at Town Lake Metro Park,18537,22201709.586652834,48.57836784,81,70,62,11,Auditorium Shores at Town Lake Metro Park,3948,3406,3039,542
10,Austin High Tennis Center,8972,2731832.5029282263,3.22,126,117,90,8,Austin High Tennis Center,407,379,291,28
11,Austin Recreation Center,10236,3616523.683987072,5.48733039,60,52,47,8,Austin Recreation Center,334,289,259,44
12,Bailey Neighborhood Park,2977,2825448.0393059268,2.299,155,134,119,21,Bailey Neighborhood Park,358,308,274,49
13,Balcones District Park,11842,20906404.67326517,51.69,51,44,35,7,Balcones District Park,2662,2277,1812,384
14,Barrington School Park,7864,1546852.3793361,8.02,48,12,8,36,Barrington School Park,392,97,70,295
