,GEOID10,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
0,484530001011,1045.0000007854237,515.0000003870748,72.00000005411532,176.00000013228188,65.0000000488541,530.0000003983489,24.000000018038442,96.00000007215377,45.000000033822076,10234445.73269859,0.00029926540318123314,6.8701883191284e-09,2.924099760723668e-11,3.0556842522528904e-08,1.5059113779045344e-08,2.105351829303427e-09,5.14641558274171e-09,1.900664845898927e-09,1.549772874348356e-08,7.017839431011424e-10,2.8071357724045696e-09,1.315844893314642e-09,2.8071357724045696e-09,7.953551355146279e-09,3.216509739213569e-09,1.7603080572786987e-08,2.064414432622527e-08,4.447744530881441,2.191950653975064,0.30644747007030027,0.7490938157274005,0.2766539660356877,2.255793876906377,0.1021491566901001,0.4085966267604004,0.19152966879393768,0.4085966267604004,1.157690442487801,0.4681836348296254,2.5622413469766774,3.0048876926337775
1,484530001012,1202.000000345202,599.0000001720266,37.00000001062602,106.0000000304421,43.000000012349155,603.0000001731753,63.00000001809295,184.0000000528429,67.00000001924171,11906443.083402472,0.00016705391218763133,3.835030123682996e-09,1.4030547243828321e-11,1.6864717791925015e-08,8.404297801466792e-09,5.191302481707367e-10,1.4872380082729213e-09,6.033135316578832e-10,8.460419990458223e-09,8.839244766150382e-10,2.581620693605826e-09,9.400466656064692e-10,1.403054724785775e-09,4.068858701878747e-09,1.5433601972643524e-09,8.97955023862896e-09,9.947657998731144e-09,4.397545064321131,2.1914554854645236,0.13536536387677356,0.3878034748902161,0.15731650396489902,2.206089578856607,0.23048697092531714,0.6731682960358469,0.24512106431740077,0.36585233480209073,1.0609717709260629,0.40243756828229976,2.3414549427333804,2.593893053746823
2,484530001013,2015.9999995406304,796.999999818394,42.999999990201935,117.9999999731123,137.99999996855504,1218.9999997222362,67.9999999845054,152.99999996513714,397.99999990931093,11510984.412381751,8074.219178747706,0.1853585670052274,0.000701436027492375,1.4140950311024094,0.5590445137840379,0.03016174917529941,0.08276945122524024,0.09679817177189112,0.8550505173183716,0.04769764985861302,0.1073197121818793,0.27917153887835267,0.07785939903391242,0.19008916340711954,0.37596971065024376,0.885212266493671,0.9378199685436118,7.628970454128131,3.016016593224266,0.16272109599578852,0.446536961104722,0.5222211918004376,4.612953860903866,0.25732638436543304,0.5789843648222244,1.5061161908447402,0.4200474803612215,1.0255213259269464,2.028337382645178,4.775674956899654,5.059490822008588
3,484530001021,1577.9998504752393,733.9999304491924,41.99999602025352,192.99998171211737,169.99998389150232,843.9999200260469,46.999995546474175,143.99998635515493,200.99998095407042,32897132.583797395,3405483.567296934,78.17914525475055,0.10351916108865408,163.35322071921834,75.98305703923084,4.347804353743454,19.979196196963972,17.59825571753303,87.37016367998751,4.8654001101414845,14.906757784263274,20.807349407200817,9.213204463884939,34.885953981227246,38.405605124733846,91.71796803373097,107.34935987695148,2.0894730965262402,0.9719095391953487,0.0556133523790254,0.25555659545599774,0.2251016643912933,1.1175635573308915,0.06223398956700462,0.19067435101380142,0.2661496149567644,0.11784734194603003,0.44623094646979916,0.49125127934805773,1.173176909709917,1.3731201527868893
4,484530001022,1062.000000261207,492.00000012101117,0.0,93.00000002287406,111.00000002730131,570.0000001401959,105.00000002582556,152.00000003738558,91.00000002238215,27778574.22884509,6537265.752472631,150.07497136071237,0.23533481951296034,249.925578384235,115.78473122885462,0.0,21.886138220088377,26.122164972363546,134.14084715538036,24.710156054938487,35.7708925747681,21.41546858094669,24.710156054938487,57.657030794856475,47.537633553310236,134.14084715538036,156.02698537546874,1.6653381714365076,0.7715125991965741,0.0,0.14583469862862075,0.17406076933093442,0.8938255722399334,0.16465207909682986,0.23835348593064895,0.14269846855058588,0.16465207909682986,0.3841881845592697,0.31675923788152033,0.8938255722399334,1.0396602708685543
5,484530002031,1593.999986982621,767.9999937281386,10.999999910168652,40.999999665174066,31.999999738672443,825.9999932544824,5.999999951001083,59.99999951001083,44.99999963250812,13016606.853700023,124373.97239474267,2.855233526050107,0.009555022579435812,15.230705867239335,7.338257281078926,0.10510524751545337,0.3917559225575989,0.30576072004495525,7.892448586160408,0.05733013500842911,0.5733013500842912,0.4299760125632183,0.16243538252388248,0.96505727264189,0.7357367326081736,7.997553833675862,8.284204508718007,5.334311792110852,2.570107563576621,0.03681143645747765,0.1372062631596894,0.10708781514902588,2.764204228534231,0.020078965340442352,0.20078965340442356,0.15059224005331764,0.05689040179792,0.33799591656411293,0.25768005520234355,2.8010156649917084,2.90141049169392
7,484530002042,1254.9999990702129,669.9999995036197,5.999999995554803,59.999999955548034,127.99999990516913,584.9999995665933,21.999999983700945,94.99999992961772,129.9999999036874,5936941.518594659,0.0002897998185875418,6.652888397326488e-09,4.8812981849304236e-11,6.126029217549114e-08,3.270469781480404e-08,2.928778908788421e-10,2.9287789087884213e-09,6.248061672081965e-09,2.8555594360687104e-08,1.0738855998890876e-09,4.637233272248333e-09,6.345687635708246e-09,1.3667634907679296e-09,7.566012181036754e-09,1.2593749307790211e-08,2.8848472251565946e-08,3.148437326947553e-08,9.208074525962143,4.915864487963853,0.04402266705639272,0.44022667056392717,0.9391502305363779,4.29221003799829,0.16141644587343995,0.697025561726218,0.9538244528885089,0.20543911292983263,1.137252232290145,1.8929746834248868,4.336232705054682,4.732436708562217
8,484530002043,692.0000001029734,266.0000000395823,23.000000003422528,34.00000000505939,52.000000007737896,426.0000000633912,35.0000000052082,128.00000001904712,10.000000001488056,8170844.672217952,0.00022965239788690864,5.272093615401943e-09,2.810632279766128e-11,1.944957537887581e-08,7.476281865290414e-09,6.464454244424041e-10,9.556149752626843e-10,1.4615287856958703e-09,1.19732935135854e-08,9.83721298064528e-10,3.5976093186359885e-09,2.810632280184366e-10,1.6301667225069322e-09,4.553224293898673e-09,1.7425920137143068e-09,1.2619738938027803e-08,1.2928908488848083e-08,3.6891559212938936,1.4180859466245315,0.12261645403144444,0.18125910595952657,0.27721980911457006,2.2710699746693623,0.18659025613480676,0.6823872224358648,0.053311501752801936,0.30920671016625123,0.8636463283953913,0.330531310867372,2.393686428700807,2.452329080628889
9,484530002051,1528.999999858306,773.9999999282727,44.9999999958298,44.9999999958298,111.99999998962085,754.9999999300334,0.0,99.9999999907329,131.99999998776744,6175115.741419258,1494222.919411165,34.30263818666586,0.2419748846792854,369.979598640341,187.2885607244107,10.888869809558761,10.888869809558761,27.101187081568472,182.6910379159303,0.0,24.197488465686135,31.9406847747057,10.888869809558761,35.0863582752449,59.04187185627417,193.57990772548908,193.57990772548908,10.785747633374733,5.459887945213894,0.3174353456519705,0.3174353456519705,0.7900613047337933,5.325859688160839,0.0,0.7054118792266012,0.9311436805791137,0.3174353456519705,1.0228472248785718,1.721204985312907,5.64329503381281,5.64329503381281
10,484530002052,1828.0000008364773,1036.0000004740648,81.00000003706491,81.00000003706491,59.0000000269979,792.0000003624125,48.0000000219644,114.00000005216543,0.0,7015456.886213222,3793363.55903822,87.08364460601975,0.5407151124387835,988.427225990392,560.1808567429136,43.797924127583016,43.797924127583016,31.902191648486397,428.2463692474784,25.954325408938086,61.64152284622795,0.0,69.7522495365211,105.43944697381096,31.902191648486397,472.04429337506144,472.04429337506144,11.350319918995053,6.4326758403057305,0.5029408716841353,0.5029408716841353,0.3663396472760986,4.917644078689323,0.2980390350720802,0.7078427082961904,0.0,0.8009799067562156,1.2107835799803257,0.3663396472760986,5.420584950373459,5.420584950373459
