,GEOID10,Total_PO_1,Male_new,Male_Und_2,Male_Und_3,Male_Ove_1,Female,Female_U_2,Female_U_3,Female_O_1,fullarea_age,new_area,area_acre,weight,TotPopNS,Males_ns,Males_ns_under5,Males_ns_under18,Males_ns_over65,Females_ns,Females_ns_under5,Females_ns_under18,Females_ns_over65,Under5_ns,Under18_ns,Over65_ns,W_C_under5,W_C_under18,Norm_TotPopNS,Norm_M_ns,Norm_M_ns_un5,Norm_M_ns_un18,Norm_M_ns_ov65,Norm_F_ns,Norm_F_ns_un5,Norm_F_ns_un18,Norm_F_ns_ov65,Norm_Under5,Norm_Under18,Norm_Over65_ns,Norm_W_C_under5,Norm_W_C_under18
0,484530001011,1045.0000007854237,515.0000003870748,72.00000005411532,176.00000013228188,65.0000000488541,530.0000003983489,24.000000018038442,96.00000007215377,45.000000033822076,10234445.73269859,0.00029917168744384055,6.868036901832887e-09,2.9231840712975845e-11,3.0547273568019136e-08,1.5054397978497468e-08,2.1046925329161512e-09,5.144803969350592e-09,1.9000696477715253e-09,1.5492875589521668e-08,7.015641776387171e-10,2.8062567105548684e-09,1.3154328330725945e-09,2.8062567105548684e-09,7.951060679905461e-09,3.21550248084412e-09,1.759756812243782e-08,2.0637679558872262e-08,4.447744530881441,2.1919506539750637,0.30644747007030027,0.7490938157274006,0.2766539660356877,2.255793876906377,0.10214915669010009,0.40859662676040037,0.19152966879393765,0.40859662676040037,1.157690442487801,0.4681836348296254,2.562241346976677,3.0048876926337775
1,484530001012,1202.000000345202,599.0000001720266,37.00000001062602,106.0000000304421,43.000000012349155,603.0000001731753,63.00000001809295,184.0000000528429,67.00000001924171,11906443.083402472,0.0001670514841556059,3.834974383737509e-09,1.4030343317936395e-11,1.6864472673002848e-08,8.404175649857493e-09,5.191227029127333e-10,1.4872163921283709e-09,6.033047628445279e-10,8.460297023145355e-09,8.839116292838432e-10,2.5815831712417006e-09,9.400330025717062e-10,1.4030343321965764e-09,4.0687995633700715e-09,1.543337765416234e-09,8.979419726058089e-09,9.947513415273726e-09,4.39754506432113,2.191455485464523,0.13536536387677356,0.3878034748902161,0.15731650396489902,2.2060895788566066,0.23048697092531714,0.6731682960358468,0.24512106431740077,0.3658523348020907,1.0609717709260629,0.40243756828229976,2.3414549427333804,2.5938930537468226
2,484530001013,2015.9999995406304,796.999999818394,42.999999990201935,117.9999999731123,137.99999996855504,1218.9999997222362,67.9999999845054,152.99999996513714,397.99999990931093,11510984.412381751,0.0001654357973102094,3.79788331749792e-09,1.4371993861120944e-11,2.8973939617417766e-08,1.1454479104703352e-08,6.179957358873829e-10,1.6958952752258415e-09,1.9833351523827637e-09,1.751946051271441e-08,9.772955823335357e-10,2.1989150602504554e-09,5.720053555422753e-09,1.5952913182209186e-09,3.894810335476297e-09,7.703388707805517e-09,1.8137456248601793e-08,1.921535578794025e-08,7.628970454128132,3.0160165932242666,0.16272109599578854,0.446536961104722,0.5222211918004376,4.612953860903865,0.25732638436543304,0.5789843648222244,1.5061161908447402,0.4200474803612216,1.0255213259269464,2.0283373826451783,4.775674956899653,5.059490822008587
3,484530001021,1577.9998504752393,733.9999304491924,41.99999602025352,192.99998171211737,169.99998389150232,843.9999200260469,46.999995546474175,143.99998635515493,200.99998095407042,32897132.583797395,0.00010886423393989542,2.4991789242400234e-09,3.309231698616602e-12,5.22196712560492e-09,2.428975836624849e-09,1.3898771817199408e-10,6.386816573141633e-10,5.625693354580712e-10,2.7929912889800715e-09,1.5553387509723146e-10,4.765293194468369e-10,6.651555083945431e-10,2.9452159326922554e-10,1.1152109767610003e-09,1.2277248438526144e-09,2.9319790071520655e-09,3.4316729462942347e-09,2.0894730965262402,0.9719095391953488,0.05561335237902541,0.25555659545599774,0.2251016643912933,1.1175635573308917,0.06223398956700463,0.19067435101380145,0.2661496149567645,0.11784734194603004,0.4462309464697992,0.49125127934805785,1.173176909709917,1.3731201527868893
5,484530002031,1593.999986982621,767.9999937281386,10.999999910168652,40.999999665174066,31.999999738672443,825.9999932544824,5.999999951001083,59.99999951001083,44.99999963250812,13016606.853700023,0.0002022607430066394,4.64326774579062e-09,1.553866881591695e-11,2.476863789029888e-08,1.1933697553167842e-08,1.709253555792269e-10,6.370854162498457e-10,4.972373980486601e-10,1.2834940337131039e-08,9.323201213412376e-11,9.323201213412376e-10,6.992400910059282e-10,2.6415736771335067e-10,1.5694055375910832e-09,1.1964774890545882e-09,1.3005865692710265e-08,1.3472025753380885e-08,5.334311792110852,2.5701075635766215,0.03681143645747765,0.13720626315968942,0.10708781514902589,2.764204228534231,0.020078965340442356,0.20078965340442356,0.15059224005331764,0.05689040179792001,0.33799591656411293,0.25768005520234355,2.8010156649917084,2.9014104916939205
7,484530002042,1254.9999990702129,669.9999995036197,5.999999995554803,59.999999955548034,127.99999990516913,584.9999995665933,21.999999983700945,94.99999992961772,129.9999999036874,5936941.518594659,0.0002898299467049949,6.653580043732666e-09,4.8818056535884644e-11,6.126666090714482e-08,3.270809785481039e-08,2.92908338998302e-10,2.92908338998302e-09,6.248711231963776e-09,2.855856305233444e-08,1.073997242993774e-09,4.637715367473115e-09,6.3463473449632105e-09,1.3669055819920759e-09,7.566798757456135e-09,1.2595058576926986e-08,2.885147139133274e-08,3.148764644231746e-08,9.208074525962141,4.9158644879638524,0.04402266705639271,0.4402266705639271,0.9391502305363778,4.292210037998289,0.16141644587343995,0.697025561726218,0.9538244528885088,0.20543911292983263,1.137252232290145,1.8929746834248866,4.336232705054681,4.732436708562216
8,484530002043,692.0000001029734,266.0000000395823,23.000000003422528,34.00000000505939,52.000000007737896,426.0000000633912,35.0000000052082,128.00000001904712,10.000000001488056,8170844.672217952,0.00022976277315156328,5.274627482818257e-09,2.811983122537989e-11,1.945892321085848e-08,7.479875107064097e-09,6.467561182799783e-10,9.560742618051856e-10,1.4622312239373426e-09,1.1979048103794383e-08,9.841940930347498e-10,3.599338397384228e-09,2.8119831229564276e-10,1.6309502113147283e-09,4.555412659189413e-09,1.7434295362329852e-09,1.262580422207436e-08,1.2935122365599569e-08,3.689155921293894,1.4180859466245312,0.12261645403144444,0.1812591059595266,0.27721980911457006,2.271069974669363,0.1865902561348068,0.6823872224358648,0.05331150175280193,0.30920671016625123,0.8636463283953915,0.330531310867372,2.393686428700807,2.452329080628889
12,484530002061,1251.9999995601574,490.99999982750586,38.99999998629884,69.99999997540817,53.99999998102916,760.9999997326516,65.99999997681341,141.9999999501137,106.99999996240963,6393168.661752354,0.00016323243075083878,3.747300981424215e-09,2.5532320416852118e-11,3.196646515066865e-08,1.2536369320270214e-08,9.957604959074102e-10,1.7872624285517618e-09,1.378745302025645e-09,1.9430095830398438e-08,1.6851331469202324e-09,3.625589497919288e-09,2.7319582836434075e-09,2.680893642827643e-09,5.4128519264710495e-09,4.110703585669052e-09,2.0425856326305848e-08,2.12173582589502e-08,8.530530456221678,3.345439659748278,0.2657273864158511,0.47694659100280956,0.36793022734502456,5.185090796473401,0.44969250008836326,0.9675202274628422,0.7290469319614375,0.7154198865042144,1.4444668184656517,1.0969771593064621,5.450818182889252,5.662037387476211
13,484530002062,883.9999998857257,504.9999999347189,11.999999998448766,135.99999998241935,50.99999999340726,378.9999999510069,0.0,19.999999997414612,75.99999999017552,5914709.205244953,0.00022108121746276755,5.07532638803415e-09,3.7378205722560394e-11,3.3042333854472023e-08,1.887599388745291e-08,4.485384686127424e-10,5.08343597761108e-09,1.9062884916041552e-09,1.4166339967019115e-08,0.0,7.475641143545707e-10,2.840743634547369e-09,4.485384686127424e-10,5.831000091965651e-09,4.747032126151524e-09,1.4614878435631857e-08,1.9249775944630196e-08,6.510385998499393,3.7191684719934313,0.08837628052261619,1.0015978459229835,0.3755991922211188,2.7912175265059616,0.0,0.14729380087102698,0.5597164433099026,0.08837628052261619,1.1488916467940105,0.9353156355310214,2.8795938070285776,3.792815372428945
19,484530003025,1221.999999884642,612.9999999421321,0.0,14.999999998583984,118.99999998876628,608.9999999425098,56.99999999461914,113.99999998923828,36.999999996507164,7637960.577282555,0.0005765163331412147,1.323499387376526e-08,7.548040177844548e-11,9.223705096455311e-08,4.626948628581919e-08,0.0,1.1322060265698008e-09,8.982167810787087e-09,4.596756467873392e-08,4.302382900965243e-09,8.604765801930485e-09,2.792774865538842e-09,4.302382900965243e-09,9.736971828500287e-09,1.1774942676325928e-08,4.596756467873392e-08,4.709977070530372e-08,6.969179724925127,3.4959960485917367,0.0,0.0855463959688027,0.6786680746858348,3.47318367633339,0.3250763046814502,0.6501526093629004,0.21101444338971334,0.3250763046814502,0.7356990053317032,0.8896825180755481,3.47318367633339,3.558730072302193
