,GEOID10,Total_POP_,Less tha_1,"$10,000 _1","$15,000 _1","$20,000 _1","$25,000 _1","$30,000 _1","$35,000 _1","$40,000 _1","$45,000 _1","$50,000 _1","$60,000 _1","$75,000 _1","$100,000_1","$125,000_1","$150,000_1","$200,000_1",fullarea_income,new_area,area_acre,weight,TotPopNS,"Lessthan25,000","25,000to49,999","50,000to74,999","75,000to99,999","100,000to149,999","150,000ormore",Norm_TotPopNS,"Norm_Lessthan25,000","Norm_25,000to49,999","Norm_50,000to74,999","Norm_75,000to99,999","Norm_100,000to149,999","Norm_150,000ormore"
0,482090109011,112,0,1,0,0,2,2,9,2,2,6,7,9,18,6,11,32,22804966.19497933,22804966.19497933,523.5299861106365,1.0,112.0,1,17,13,9,24,43,0.21393234957191407,0.001910110264034947,0.0324718744885941,0.02483143343245431,0.017190992376314523,0.045842646336838724,0.08213474135350271
1,482090109081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837.6839569394049,1837.6839569394049,0.04218741866252077,1.0,1.0,0,0,0,0,0,0,23.703749404520885,0.0,0.0,0.0,0.0,0.0,0.0
2,484530001011,396,13,0,0,27,10,0,0,24,5,19,42,56,48,9,71,72,10234445.73269859,0.00029926540318123314,6.8701883191284e-09,2.924099760723668e-11,1.1579435052465726e-08,0,0,0,0,0,0,1.685461084119856,0.0,0.0,0.0,0.0,0.0,0.0
3,484530001012,476,4,0,0,0,8,0,0,9,6,23,63,15,31,19,92,206,11906443.083402472,0.00016705391218763133,3.835030123682996e-09,1.4030547243828321e-11,6.678540488062281e-09,0,0,0,0,0,0,1.7414571131578234,0.0,0.0,0.0,0.0,0.0,0.0
4,484530001013,1153,81,15,20,42,59,63,28,17,14,123,115,93,99,153,100,116,11510984.412381751,8074.219178747706,0.1853585670052274,0.000701436027492375,0.8087557396987083,0,0,0,0,0,0,4.36319590060221,0.0,0.0,0.0,0.0,0.0,0.0
5,484530001021,681,19,0,8,7,14,16,18,0,0,7,75,34,72,49,127,223,32897132.583797395,3405483.567296934,78.17914525475055,0.10351916108865408,70.49654870137343,3,4,8,3,12,36,0.9017308704470609,0.03837340495632632,0.05116453994176842,0.10232907988353684,0.03837340495632632,0.15349361982530527,0.4604808594759158
6,484530001022,425,0,7,8,7,0,9,0,8,37,0,0,9,77,21,107,135,27778574.22884509,6537265.752472631,150.07497136071237,0.23533481951296034,100.01729829300814,5,12,0,2,23,56,0.6664488914184883,0.033316681353763256,0.07996003524903181,0.0,0.013326672541505302,0.15325673422731095,0.3731468311621484
7,484530002031,766,121,25,33,33,27,20,20,52,0,58,62,101,56,80,35,29,13016606.853700023,124373.97239474267,2.855233526050107,0.009555022579435812,7.319147295847832,2,1,1,0,1,0,2.5634145960638968,0.7004680989322698,0.3502340494661349,0.3502340494661349,0.0,0.3502340494661349,0.0
9,484530002042,634,31,0,27,30,7,18,24,11,8,104,81,30,53,16,66,114,5936941.518594659,0.0002897998185875418,6.652888397326488e-09,4.8812981849304236e-11,3.0947430492458885e-08,0,0,0,0,0,0,4.651728489071805,0.0,0.0,0.0,0.0,0.0,0.0
10,484530002043,324,29,0,0,9,0,0,10,10,25,66,9,8,50,7,21,80,8170844.672217952,0.00022965239788690864,5.272093615401943e-09,2.810632279766128e-11,9.106448586442255e-09,0,0,0,0,0,0,1.7272926565337519,0.0,0.0,0.0,0.0,0.0,0.0
11,484530002051,814,9,9,16,15,104,14,13,0,12,146,107,84,132,40,24,75,6175115.741419258,1494222.919411165,34.30263818666586,0.2419748846792854,196.96755612893833,11,34,61,20,41,23,5.742052697436655,0.32067504371357436,0.9911774078419572,1.778288878775276,0.5830455340246806,1.1952433447505955,0.6705023641283828
12,484530002052,1056,74,56,15,66,47,88,0,0,48,81,129,170,89,103,62,28,7015456.886213222,3793363.55903822,87.08364460601975,0.5407151124387835,570.9951587353553,114,98,113,91,103,48,6.556858768585401,1.309086229862727,1.125354829180239,1.2976030173200717,1.0449723413816505,1.1827708918935167,0.551194202047464
13,484530002053,275,0,0,0,16,35,21,0,0,18,16,43,0,9,42,14,61,3042470.1761504035,644372.578108252,14.792758909739486,0.21179257011602592,58.24295678190713,3,15,12,0,10,15,3.93726127338966,0.20280192615218068,1.0140096307609034,0.8112077046087227,0.0,0.6760064205072689,1.0140096307609034
14,484530002061,640,19,16,0,10,0,0,8,0,40,56,95,76,63,64,95,87,6393168.661752354,0.00016323163706039208,3.747282760798716e-09,2.5532196270206114e-11,1.6340605612931914e-08,0,0,0,0,0,0,4.360654547843352,0.0,0.0,0.0,0.0,0.0,0.0
15,484530002062,342,0,0,9,0,0,0,7,0,0,11,37,40,10,37,83,100,5914709.205244953,0.0002210836690910013,5.075382669674043e-09,3.737862021939341e-11,1.2783488115032545e-08,0,0,0,0,0,0,2.5187239952201557,0.0,0.0,0.0,0.0,0.0,0.0
19,484530003023,434,30,15,9,24,21,42,53,0,0,0,22,14,18,15,49,110,3640340.138651186,4349.735811900151,0.09985619402892909,0.0011948707115901013,0.5185738888301039,0,0,0,0,0,0,5.193207030100398,0.0,0.0,0.0,0.0,0.0,0.0
20,484530003024,354,62,9,0,12,25,11,10,15,16,14,74,13,26,0,13,41,5259707.727875492,2616255.7340115104,60.06096726380878,0.49741466054203587,176.0847898318807,41,38,43,6,12,26,2.931767466522054,0.6826396887668102,0.6326904432472875,0.7159391857798253,0.0998984910390454,0.1997969820780908,0.4328934611691967
21,484530003025,669,28,0,0,38,12,72,62,0,9,88,21,100,77,38,50,62,7637960.577282555,83868.31628087732,1.9253516134269357,0.01098045943446282,7.345927361655626,0,1,1,1,1,1,3.815369260568775,0.0,0.5193856504060049,0.5193856504060049,0.5193856504060049,0.5193856504060049,0.5193856504060049
22,484530003041,589,29,34,51,54,22,59,37,49,41,19,63,50,13,3,33,17,6373949.632548806,5641130.965646015,129.5025474207074,0.8850291092416818,521.2821453433505,148,184,72,44,14,44,4.025265569872471,1.1428346619252283,1.4208214715827163,0.555973619314976,0.3397616562480409,0.10810598153346755,0.3397616562480409
23,484530003042,708,35,13,40,0,49,20,19,38,10,105,87,60,74,22,61,75,6445532.623763712,2723104.163362122,62.51386968232604,0.4224793081214802,299.115350150008,37,57,81,25,40,57,4.784783787502025,0.591868655516308,0.9117976584980961,1.295712462076242,0.3999112537272351,0.6398580059635762,0.9117976584980961
24,484530003051,605,0,28,8,18,62,13,13,21,39,93,34,66,34,47,67,62,4588189.951009652,1386303.9264779093,31.825159010053014,0.30214614941407275,182.798420395514,16,44,38,19,24,38,5.743833686353968,0.5027468989218837,1.3825539720351803,1.194023884939474,0.597011942469737,0.7541203483828256,1.194023884939474
25,484530003052,447,89,5,8,5,64,30,8,22,10,30,23,75,7,24,32,15,6689234.109968541,257355.00719569714,5.908058016430146,0.03847301544016486,17.197437901753695,4,5,2,2,1,1,2.9108444524288855,0.6770414218811174,0.8463017773513968,0.3385207109405587,0.3385207109405587,0.16926035547027934,0.16926035547027934
26,484530003053,778,70,59,16,58,69,20,56,25,22,55,140,52,55,30,29,7,4652388.255737583,2754624.500300133,63.23747705004897,0.5920882671180716,460.6446718178597,120,113,115,30,50,21,7.284361952854079,1.8976089116431167,1.7869150584639348,1.8185418736579868,0.4744022279107792,0.7906703798512986,0.3320815595375454
27,484530003061,2211,173,58,76,157,130,29,46,91,42,129,197,227,129,161,177,389,36291342.15092726,3498785.705322494,80.32106761530059,0.09640827530632119,213.15869670227616,44,32,31,21,27,54,2.6538329610259184,0.5478014835502301,0.3984010789456218,0.38595104522857115,0.2614507080580643,0.3361509103603684,0.6723018207207369
28,484530003071,827,48,14,4,86,4,23,16,44,23,92,83,79,42,103,78,73,13066890.06784601,278887.1888898188,6.402368890950845,0.02134304241038063,17.65069607338478,3,2,3,1,3,3,2.7569008243702426,0.4685765614412225,0.31238437429414834,0.4685765614412225,0.15619218714707417,0.4685765614412225,0.4685765614412225
29,484530004011,809,6,4,0,8,0,19,0,79,13,25,77,143,153,93,106,83,9038659.423957244,4.947978725056146e-05,1.1358996154858003e-09,5.47423958904943e-12,4.428659827540989e-09,0,0,0,0,0,0,3.8988126830617373,0.0,0.0,0.0,0.0,0.0,0.0
