,GEOID10,Total_POP_,Not Hisp_1,White; N_1,Hispanic_1,fullarea_race,new_area,area_acre,weight,TotPopNS,NotHisNS,WhiteNS,HispanNS,Norm_byArea,Norm_nonhis,Norm_white,Norm_hislat
2,484530001011,1045,932,886,113,10234445.73269859,0.00029917168744384055,6.868036901832887e-09,2.9231840712975845e-11,0,0,0,0,0.0,0.0,0.0,0.0
3,484530001012,1202,1081,1025,121,11906443.083402472,0.0001670514841556059,3.834974383737509e-09,1.4030343317936395e-11,0,0,0,0,0.0,0.0,0.0,0.0
4,484530001013,2015,1852,1743,162,11510984.412381751,0.0001654357973102094,3.79788331749792e-09,1.4371993861120944e-11,0,0,0,0,0.0,0.0,0.0,0.0
5,484530001021,1577,1481,1309,95,32897132.583797395,0.00010886423393989542,2.4991789242400234e-09,3.309231698616602e-12,0,0,0,0,0.0,0.0,0.0,0.0
7,484530002031,1593,1294,994,298,13016606.853700023,0.0002022607430066394,4.64326774579062e-09,1.553866881591695e-11,0,0,0,0,0.0,0.0,0.0,0.0
9,484530002042,1254,1101,1000,152,5936941.518594659,0.0002898299467049949,6.653580043732666e-09,4.8818056535884644e-11,0,0,0,0,0.0,0.0,0.0,0.0
10,484530002043,692,566,477,126,8170844.672217952,0.00022976277315156328,5.274627482818257e-09,2.811983122537989e-11,0,0,0,0,0.0,0.0,0.0,0.0
14,484530002061,1251,1165,1046,85,6393168.661752354,0.00016323243075083878,3.747300981424215e-09,2.5532320416852118e-11,0,0,0,0,0.0,0.0,0.0,0.0
15,484530002062,883,826,683,56,5914709.205244953,0.00022108121746276755,5.07532638803415e-09,3.7378205722560394e-11,0,0,0,0,0.0,0.0,0.0,0.0
21,484530003025,1221,1123,1028,97,7637960.577282555,0.0005765163331412147,1.323499387376526e-08,7.548040177844548e-11,0,0,0,0,0.0,0.0,0.0,0.0
27,484530003061,4869,3795,2820,1074,36291342.15092726,0.0001489415739796265,3.4192280527921603e-09,4.104052513688061e-12,0,0,0,0,0.0,0.0,0.0,0.0
28,484530003071,1785,1476,1299,308,13066890.06784601,0.00029108586632213464,6.682411990866268e-09,2.2276598701814764e-11,0,0,0,0,0.0,0.0,0.0,0.0
29,484530004011,2086,1868,1668,218,9038659.423957244,4.947978725056146e-05,1.1358996154858003e-09,5.47423958904943e-12,0,0,0,0,0.0,0.0,0.0,0.0
30,484530004012,2000,1600,1173,399,14453490.345454656,2.567409297663404e-05,5.893960738437566e-10,1.776324774362066e-12,0,0,0,0,0.0,0.0,0.0,0.0
33,484530004023,802,730,412,72,6669226.725044988,5.763988090647966e-05,1.3232295892212961e-09,8.642663277591727e-12,0,0,0,0,0.0,0.0,0.0,0.0
35,484530005002,767,700,551,67,2381864.177760799,4.136749339522794e-05,9.496669741787864e-10,1.7367696185815977e-11,0,0,0,0,0.0,0.0,0.0,0.0
36,484530005003,1120,986,943,134,4239832.058949179,0.00019432790149517256,4.461154763433713e-09,4.583386766110159e-11,0,0,0,0,0.0,0.0,0.0,0.0
37,484530005004,1749,1576,1419,172,4260447.209627981,0.0001912121339008293,4.389626581745393e-09,4.4880765913192895e-11,0,0,0,0,0.0,0.0,0.0,0.0
38,484530006011,1271,1055,750,216,2121204.6136157564,0.0003746769176252388,8.601398476245151e-09,1.7663402918333898e-10,0,0,0,0,0.0,0.0,0.0,0.0
40,484530006031,1034,835,522,198,2316898.6360280695,0.00026849636236962304,6.1638283372273425e-09,1.1588610662308239e-10,0,0,0,0,0.0,0.0,0.0,0.0
41,484530006032,2467,1808,1062,659,2813006.993142315,0.0002955149646079185,6.784090096600516e-09,1.0505305010913204e-10,0,0,0,0,0.0,0.0,0.0,0.0
45,484530006041,1448,1233,1056,215,3337007.385340182,0.00026936948616271446,6.183872501439726e-09,8.072187294103166e-11,0,0,0,0,0.0,0.0,0.0,0.0
48,484530007001,1123,880,740,243,17393286.87308318,0.0004480064370190784,1.0284812603743765e-08,2.575743390470875e-11,0,0,0,0,0.0,0.0,0.0,0.0
49,484530008011,1876,780,624,1095,13909445.55378341,0.00016180932704852212,3.7146310158062927e-09,1.1633053698859298e-11,0,0,0,0,0.0,0.0,0.0,0.0
50,484530008021,985,771,582,213,5405478.4436253095,0.00022883944831348724,5.253430861191167e-09,4.2334725908186356e-11,0,0,0,0,0.0,0.0,0.0,0.0
